Elem,Thickness (mm),SCF,curve_type
3460,12,1,DNV-CD
3461,12,1,DNV-CD
3462,12,1,DNV-CD
3463,12,1,DNV-CD
3464,12,1,DNV-CD
3465,12,1,DNV-CD
3466,12,1,DNV-CD
3467,12,1,DNV-CD
3468,12,1,DNV-CD
3469,12,1,DNV-CD
3470,12,1,DNV-CD
3471,12,1,DNV-CD
3472,12,1,DNV-CD
3473,12,1,DNV-CD
3474,12,1,DNV-CD
3475,12,1,DNV-CD
3476,12,1,DNV-CD
3477,12,1,DNV-CD
3478,12,1,DNV-CD
3479,12,1,DNV-CD
3480,12,1,DNV-CD
3481,12,1,DNV-CD
3482,12,1,DNV-CD
3483,12,1,DNV-CD
3484,12,1,DNV-CD
3485,12,1,DNV-CD
3486,12,1,DNV-CD
3487,12,1,DNV-CD
3488,12,1,DNV-CD
3489,12,1,DNV-CD
3490,12,1,DNV-CD
3491,12,1,DNV-CD
3492,12,1,DNV-CD
3493,12,1,DNV-CD
3494,12,1,DNV-CD
3495,12,1,DNV-CD
3496,12,1,DNV-CD
3497,12,1,DNV-CD
3498,12,1,DNV-CD
3499,12,1,DNV-CD
3500,12,1,DNV-CD
3501,12,1,DNV-CD
3502,12,1,DNV-CD
3503,12,1,DNV-CD
3504,12,1,DNV-CD
3505,12,1,DNV-CD
3506,12,1,DNV-CD
3507,12,1,DNV-CD
3508,12,1,DNV-CD
3509,12,1,DNV-CD
3510,12,1,DNV-CD
3511,12,1,DNV-CD
3512,12,1,DNV-CD
3513,12,1,DNV-CD
3514,12,1,DNV-CD
3515,12,1,DNV-CD
3516,12,1,DNV-CD
3517,12,1,DNV-CD
3518,12,1,DNV-CD
3519,12,1,DNV-CD
3520,12,1,DNV-CD
3521,12,1,DNV-CD
3522,12,1,DNV-CD
3523,12,1,DNV-CD
3524,12,1,DNV-CD
3525,12,1,DNV-CD
3526,12,1,DNV-CD
3527,12,1,DNV-CD
3528,12,1,DNV-CD
3529,12,1,DNV-CD
3530,12,1,DNV-CD
3531,12,1,DNV-CD
3532,12,1,DNV-CD
3533,12,1,DNV-CD
3534,12,1,DNV-CD
3535,12,1,DNV-CD
3536,12,1,DNV-CD
3537,12,1,DNV-CD
3538,12,1,DNV-CD
3539,12,1,DNV-CD
3540,12,1,DNV-CD
3541,12,1,DNV-CD
3542,12,1,DNV-CD
3543,12,1,DNV-CD
3544,12,1,DNV-CD
3545,12,1,DNV-CD
3546,12,1,DNV-CD
3547,12,1,DNV-CD
3548,12,1,DNV-CD
3549,12,1,DNV-CD
3550,12,1,DNV-CD
3551,12,1,DNV-CD
3552,12,1,DNV-CD
3553,12,1,DNV-CD
3554,12,1,DNV-CD
3555,12,1,DNV-CD
3556,12,1,DNV-CD
3557,12,1,DNV-CD
3558,12,1,DNV-CD
3559,12,1,DNV-CD
3560,12,1,DNV-CD
3561,12,1,DNV-CD
3562,12,1,DNV-CD
3563,12,1,DNV-CD
3564,12,1,DNV-CD
3565,12,1,DNV-CD
3566,12,1,DNV-CD
3567,12,1,DNV-CD
3568,12,1,DNV-CD
3569,12,1,DNV-CD
3570,12,1,DNV-CD
3571,12,1,DNV-CD
3572,12,1,DNV-CD
3573,12,1,DNV-CD
3574,12,1,DNV-CD
3575,12,1,DNV-CD
3576,12,1,DNV-CD
3577,12,1,DNV-CD
3578,12,1,DNV-CD
3579,12,1,DNV-CD
3580,12,1,DNV-CD
3581,12,1,DNV-CD
3582,12,1,DNV-CD
3583,12,1,DNV-CD
3584,12,1,DNV-CD
3585,12,1,DNV-CD
3586,12,1,DNV-CD
3587,12,1,DNV-CD
3588,12,1,DNV-CD
3589,12,1,DNV-CD
3590,12,1,DNV-CD
3591,12,1,DNV-CD
3592,12,1,DNV-CD
3593,12,1,DNV-CD
3594,12,1,DNV-CD
3595,12,1,DNV-CD
3596,12,1,DNV-CD
3597,12,1,DNV-CD
3598,12,1,DNV-CD
3599,12,1,DNV-CD
3600,12,1,DNV-CD
3601,12,1,DNV-CD
3602,12,1,DNV-CD
3603,12,1,DNV-CD
3604,12,1,DNV-CD
3605,12,1,DNV-CD
3606,12,1,DNV-CD
3607,12,1,DNV-CD
3608,12,1,DNV-CD
3609,12,1,DNV-CD
3610,12,1,DNV-CD
3611,12,1,DNV-CD
3612,12,1,DNV-CD
3613,12,1,DNV-CD
3614,12,1,DNV-CD
3615,12,1,DNV-CD
3616,12,1,DNV-CD
3617,12,1,DNV-CD
3618,12,1,DNV-CD
3619,12,1,DNV-CD
3620,12,1,DNV-CD
3621,12,1,DNV-CD
3622,12,1,DNV-CD
3623,12,1,DNV-CD
3624,12,1,DNV-CD
3625,12,1,DNV-CD
3626,12,1,DNV-CD
3627,12,1,DNV-CD
3628,12,1,DNV-CD
3629,12,1,DNV-CD
3630,12,1,DNV-CD
3631,12,1,DNV-CD
3632,12,1,DNV-CD
3633,12,1,DNV-CD
3634,12,1,DNV-CD
3635,12,1,DNV-CD
3636,12,1,DNV-CD
3637,12,1,DNV-CD
3638,12,1,DNV-CD
3639,12,1,DNV-CD
3640,12,1,DNV-CD
3641,12,1,DNV-CD
3642,12,1,DNV-CD
3643,12,1,DNV-CD
3644,12,1,DNV-CD
3645,12,1,DNV-CD
3646,12,1,DNV-CD
3647,12,1,DNV-CD
3648,12,1,DNV-CD
3649,12,1,DNV-CD
3650,12,1,DNV-CD
3651,12,1,DNV-CD
3652,12,1,DNV-CD
3653,12,1,DNV-CD
3654,12,1,DNV-CD
3655,12,1,DNV-CD
3656,12,1,DNV-CD
3657,12,1,DNV-CD
3658,12,1,DNV-CD
3659,12,1,DNV-CD
3660,12,1,DNV-CD
3661,12,1,DNV-CD
3662,12,1,DNV-CD
3663,12,1,DNV-CD
3664,12,1,DNV-CD
3665,12,1,DNV-CD
3666,12,1,DNV-CD
3667,12,1,DNV-CD
3668,12,1,DNV-CD
3669,12,1,DNV-CD
3670,12,1,DNV-CD
3671,12,1,DNV-CD
3672,12,1,DNV-CD
3673,12,1,DNV-CD
3674,12,1,DNV-CD
3675,12,1,DNV-CD
3676,12,1,DNV-CD
3677,12,1,DNV-CD
3678,12,1,DNV-CD
3679,12,1,DNV-CD
3680,12,1,DNV-CD
3681,12,1,DNV-CD
3682,12,1,DNV-CD
3683,12,1,DNV-CD
3684,12,1,DNV-CD
3685,12,1,DNV-CD
3686,12,1,DNV-CD
3687,12,1,DNV-CD
3688,12,1,DNV-CD
3689,12,1,DNV-CD
3690,12,1,DNV-CD
3691,12,1,DNV-CD
3692,12,1,DNV-CD
3693,12,1,DNV-CD
3694,12,1,DNV-CD
3695,12,1,DNV-CD
3696,12,1,DNV-CD
3697,12,1,DNV-CD
3698,12,1,DNV-CD
3699,12,1,DNV-CD
3700,12,1,DNV-CD
3701,12,1,DNV-CD
3702,12,1,DNV-CD
3703,12,1,DNV-CD
3704,12,1,DNV-CD
3705,12,1,DNV-CD
3706,12,1,DNV-CD
3707,12,1,DNV-CD
3708,12,1,DNV-CD
3709,12,1,DNV-CD
3710,12,1,DNV-CD
3711,12,1,DNV-CD
3712,12,1,DNV-CD
3713,12,1,DNV-CD
3714,12,1,DNV-CD
3715,12,1,DNV-CD
3716,12,1,DNV-CD
3717,12,1,DNV-CD
3718,12,1,DNV-CD
3719,12,1,DNV-CD
3720,12,1,DNV-CD
3721,12,1,DNV-CD
3722,12,1,DNV-CD
3723,12,1,DNV-CD
3724,12,1,DNV-CD
3725,12,1,DNV-CD
3726,12,1,DNV-CD
3727,12,1,DNV-CD
3728,12,1,DNV-CD
3729,12,1,DNV-CD
3730,12,1,DNV-CD
3731,12,1,DNV-CD
3732,12,1,DNV-CD
3733,12,1,DNV-CD
3734,12,1,DNV-CD
3735,12,1,DNV-CD
3736,12,1,DNV-CD
3737,12,1,DNV-CD
3738,12,1,DNV-CD
3739,12,1,DNV-CD
3740,12,1,DNV-CD
3741,12,1,DNV-CD
3742,12,1,DNV-CD
3743,12,1,DNV-CD
3744,12,1,DNV-CD
3745,12,1,DNV-CD
3746,12,1,DNV-CD
3747,12,1,DNV-CD
3748,12,1,DNV-CD
3749,12,1,DNV-CD
3750,12,1,DNV-CD
3751,12,1,DNV-CD
3752,12,1,DNV-CD
3753,12,1,DNV-CD
3754,12,1,DNV-CD
3755,12,1,DNV-CD
3756,12,1,DNV-CD
3757,12,1,DNV-CD
3758,12,1,DNV-CD
3759,12,1,DNV-CD
3760,12,1,DNV-CD
3761,12,1,DNV-CD
3762,12,1,DNV-CD
3763,12,1,DNV-CD
3764,12,1,DNV-CD
3765,12,1,DNV-CD
3766,12,1,DNV-CD
3767,12,1,DNV-CD
3768,12,1,DNV-CD
3769,12,1,DNV-CD
3770,12,1,DNV-CD
3771,12,1,DNV-CD
3772,12,1,DNV-CD
3773,12,1,DNV-CD
3774,12,1,DNV-CD
3775,12,1,DNV-CD
3776,12,1,DNV-CD
3777,12,1,DNV-CD
3778,12,1,DNV-CD
3779,12,1,DNV-CD
3780,12,1,DNV-CD
3781,12,1,DNV-CD
3782,12,1,DNV-CD
3783,12,1,DNV-CD
3784,12,1,DNV-CD
3785,12,1,DNV-CD
3786,12,1,DNV-CD
3787,12,1,DNV-CD
3788,12,1,DNV-CD
3789,12,1,DNV-CD
3790,12,1,DNV-CD
3791,12,1,DNV-CD
3792,12,1,DNV-CD
3793,12,1,DNV-CD
3794,12,1,DNV-CD
3795,12,1,DNV-CD
3796,12,1,DNV-CD
3797,12,1,DNV-CD
3798,12,1,DNV-CD
3799,12,1,DNV-CD
3800,12,1,DNV-CD
3801,12,1,DNV-CD
3802,12,1,DNV-CD
3803,12,1,DNV-CD
3804,12,1,DNV-CD
3805,12,1,DNV-CD
3806,12,1,DNV-CD
3807,12,1,DNV-CD
3808,12,1,DNV-CD
3809,12,1,DNV-CD
3810,12,1,DNV-CD
3811,12,1,DNV-CD
3812,12,1,DNV-CD
3813,12,1,DNV-CD
3814,12,1,DNV-CD
3815,12,1,DNV-CD
3816,12,1,DNV-CD
3817,12,1,DNV-CD
3818,12,1,DNV-CD
3819,12,1,DNV-CD
3820,12,1,DNV-CD
3821,12,1,DNV-CD
3822,12,1,DNV-CD
3823,12,1,DNV-CD
3824,12,1,DNV-CD
3825,12,1,DNV-CD
3826,12,1,DNV-CD
3827,12,1,DNV-CD
3828,12,1,DNV-CD
3829,12,1,DNV-CD
3830,12,1,DNV-CD
3831,12,1,DNV-CD
3832,12,1,DNV-CD
3833,12,1,DNV-CD
3834,12,1,DNV-CD
3835,12,1,DNV-CD
3836,12,1,DNV-CD
3837,12,1,DNV-CD
3838,12,1,DNV-CD
3839,12,1,DNV-CD
3840,12,1,DNV-CD
3841,12,1,DNV-CD
3842,12,1,DNV-CD
3843,12,1,DNV-CD
3844,12,1,DNV-CD
3845,12,1,DNV-CD
3846,12,1,DNV-CD
3847,12,1,DNV-CD
3848,12,1,DNV-CD
3849,12,1,DNV-CD
3850,12,1,DNV-CD
3851,12,1,DNV-CD
3852,12,1,DNV-CD
3853,12,1,DNV-CD
3854,12,1,DNV-CD
3855,12,1,DNV-CD
3856,12,1,DNV-CD
3857,12,1,DNV-CD
3858,12,1,DNV-CD
3859,12,1,DNV-CD
5881,15,1,DNV-CD
5882,15,1,DNV-CD
5885,15,1,DNV-CD
5886,15,1,DNV-CD
5897,15,1,DNV-CD
5898,15,1,DNV-CD
5901,15,1,DNV-CD
5902,15,1,DNV-CD
5913,15,1,DNV-CD
5914,15,1,DNV-CD
5917,15,1,DNV-CD
5918,15,1,DNV-CD
5929,15,1,DNV-CD
5930,15,1,DNV-CD
5933,15,1,DNV-CD
5934,15,1,DNV-CD
5945,15,1,DNV-CD
5946,15,1,DNV-CD
5949,15,1,DNV-CD
5950,15,1,DNV-CD
5961,15,1,DNV-CD
5962,15,1,DNV-CD
5965,15,1,DNV-CD
5966,15,1,DNV-CD
5977,15,1,DNV-CD
5978,15,1,DNV-CD
5981,15,1,DNV-CD
5982,15,1,DNV-CD
5993,15,1,DNV-CD
5994,15,1,DNV-CD
5997,15,1,DNV-CD
5998,15,1,DNV-CD
6009,15,1,DNV-CD
6010,15,1,DNV-CD
6013,15,1,DNV-CD
6014,15,1,DNV-CD
6025,15,1,DNV-CD
6026,15,1,DNV-CD
6029,15,1,DNV-CD
6030,15,1,DNV-CD
6041,15,1,DNV-CD
6042,15,1,DNV-CD
6045,15,1,DNV-CD
6046,15,1,DNV-CD
6057,15,1,DNV-CD
6058,15,1,DNV-CD
6061,15,1,DNV-CD
6062,15,1,DNV-CD
6073,15,1,DNV-CD
6074,15,1,DNV-CD
6077,15,1,DNV-CD
6078,15,1,DNV-CD
6089,15,1,DNV-CD
